t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
0.0000,1.20148,0.02337,2.52028,1.20000,0.00000,0.55000,0.03554,0.56085,0.48673,-0.00000,0.54000,1.03673,0.00000,0.00000,1.95000,0.00000,0.00000,0.00000,0.000000,1.970419,1,0,DESCENDING
0.0417,1.20251,0.04672,2.54043,1.19979,0.02250,0.59315,0.02461,0.56033,0.48353,-0.01012,0.53991,1.03353,0.00169,0.00087,1.92713,0.04566,0.02095,-0.54680,0.001902,1.947427,1,0,DESCENDING
0.0833,1.20296,0.06998,2.56018,1.19916,0.04499,0.63604,0.01094,0.55836,0.47396,-0.02025,0.53962,1.02396,0.00335,0.00173,1.90439,0.04486,0.02071,-0.54043,0.003769,1.924303,1,0,DESCENDING
0.1250,1.20286,0.09314,2.57926,1.19810,0.06746,0.67839,-0.00233,0.55570,0.45808,-0.03036,0.53915,1.00808,0.00486,0.00252,1.88178,0.04130,0.01921,-0.53412,0.005473,1.901047,1,0,DESCENDING
0.1667,1.20224,0.11621,2.59743,1.19663,0.08992,0.71996,-0.01499,0.55374,0.43598,-0.04046,0.53848,0.98598,0.00624,0.00322,1.85930,0.03813,0.01722,-0.52790,0.007020,1.877662,1,0,DESCENDING
0.2083,1.20108,0.13919,2.61442,1.19473,0.11234,0.76048,-0.02792,0.55150,0.40781,-0.05055,0.53763,0.95781,0.00751,0.00387,1.83695,0.03556,0.01612,-0.52182,0.008449,1.854150,1,0,DESCENDING
0.2500,1.19940,0.16207,2.62999,1.19241,0.13472,0.79969,-0.04025,0.54914,0.37373,-0.06062,0.53659,0.92373,0.00866,0.00447,1.81473,0.03270,0.01491,-0.51592,0.009748,1.830515,1,0,DESCENDING
0.2917,1.19721,0.18483,2.64391,1.18968,0.15705,0.83737,-0.05259,0.54632,0.33395,-0.07067,0.53536,0.88395,0.00972,0.00502,1.79262,0.03042,0.01378,-0.51022,0.010940,1.806762,1,0,DESCENDING
0.3333,1.19452,0.20749,2.65594,1.18653,0.17933,0.87328,-0.06445,0.54392,0.28873,-0.08070,0.53394,0.83873,0.01068,0.00551,1.77063,0.02811,0.01238,-0.50477,0.012018,1.782896,1,0,DESCENDING
0.3750,1.19135,0.23003,2.66587,1.18295,0.20154,0.90720,-0.07621,0.54092,0.23833,-0.09069,0.53233,0.78833,0.01157,0.00595,1.74874,0.02624,0.01159,-0.49960,0.013011,1.758923,1,0,DESCENDING
